Symbol,Contract,Contract Settlement DateTime (EST)
CL,2008-04,3/19/2008 14:46
CL,2008-05,4/22/2008 14:46
CL,2008-06,5/20/2008 14:49
CL,2008-07,6/20/2008 14:30
CL,2008-08,7/22/2008 14:30
CL,2008-09,8/20/2008 14:48
CL,2008-10,9/22/2008 14:49
CL,2008-11,10/21/2008 14:30
CL,2008-12,11/20/2008 14:47
CL,2009-01,12/19/2008 14:46
CL,2009-02,1/20/2009 14:46
CL,2009-03,2/19/2009 23:43
CL,2009-04,3/20/2009 14:29
CL,2009-05,4/21/2009 14:46
CL,2009-06,5/19/2009 14:29
CL,2009-07,6/17/2009 23:59
CL,2009-08,7/21/2009 14:29
CL,2009-09,8/19/2009 23:57
CL,2009-10,9/22/2009 14:29
CL,2009-11,10/16/2009 17:14
CL,2009-12,11/20/2009 14:38
CL,2010-01,12/21/2009 14:29
CL,2010-02,1/20/2010 14:29
CL,2010-03,2/22/2010 14:29
CL,2010-04,3/22/2010 14:29
CL,2010-05,4/20/2010 14:29
CL,2010-06,5/20/2010 14:29
CL,2010-07,6/22/2010 14:29
CL,2010-08,7/20/2010 14:29
CL,2010-09,8/20/2010 14:29
CL,2010-10,9/21/2010 14:29
CL,2010-11,10/20/2010 14:29
CL,2010-12,11/19/2010 14:29
CL,2011-01,12/20/2010 14:29
CL,2011-02,1/20/2011 14:29
CL,2011-03,2/22/2011 14:29
CL,2011-04,3/22/2011 14:29
CL,2011-05,4/19/2011 14:29
CL,2011-06,5/20/2011 14:29
CL,2011-07,6/21/2011 14:29
CL,2011-08,7/20/2011 14:29
CL,2011-09,8/22/2011 14:29
CL,2011-10,9/20/2011 14:29
CL,2011-11,10/20/2011 14:29
CL,2011-12,11/18/2011 14:29
CL,2012-01,12/20/2011 14:29
CL,2012-02,1/20/2012 14:29
CL,2012-03,2/21/2012 14:29
CL,2012-04,3/20/2012 14:29
CL,2012-05,4/20/2012 14:29
CL,2012-06,5/22/2012 14:29
CL,2012-07,6/20/2012 14:29
CL,2012-08,7/20/2012 14:29
CL,2012-09,8/21/2012 14:29
CL,2012-10,9/20/2012 14:29
CL,2012-11,10/22/2012 14:29
CL,2012-12,11/16/2012 14:29
CL,2013-01,12/19/2012 14:29
CL,2013-02,1/22/2013 14:29
CL,2013-03,2/20/2013 14:29
CL,2013-04,3/20/2013 14:29
CL,2013-05,4/22/2013 14:29
CL,2013-06,5/21/2013 14:29
CL,2013-07,6/20/2013 14:29
CL,2013-08,7/22/2013 14:29
CL,2013-09,8/20/2013 14:29
CL,2013-10,9/20/2013 14:29
CL,2013-11,10/22/2013 14:29
CL,2013-12,11/20/2013 14:29
CL,2014-01,12/19/2013 14:29
CL,2014-02,1/21/2014 14:29
CL,2014-03,2/20/2014 14:29
CL,2014-04,3/20/2014 14:29
CL,2014-05,4/22/2014 14:29
CL,2014-06,5/20/2014 14:29
